,AGRI,BASIC-IND,CONSUMER,FINANCE,INFRASTRUC,MINING,MISC-IND,PROPERTY,TRADE
AGRI,1.0,0.5866793410788046,0.6210609169214869,0.5887029023700975,0.6296019451925882,0.5700601002775689,0.517414680999086,0.5119309690246804,0.6497805102030352
BASIC-IND,0.5866793410788046,1.0,0.7248136562971972,0.6677634883944782,0.7520418743190382,0.5033344888312176,0.6637108850264523,0.5284495609787461,0.6241774792341621
CONSUMER,0.6210609169214869,0.7248136562971972,1.0,0.8078948157811846,0.8185958427168265,0.5021446098431055,0.7158840482052845,0.5498631086302995,0.6949487385495225
FINANCE,0.5887029023700975,0.6677634883944782,0.8078948157811846,1.0,0.7597027501294181,0.48365395498458164,0.7401787918803573,0.5843786105926965,0.6437040584198321
INFRASTRUC,0.6296019451925882,0.7520418743190382,0.8185958427168265,0.7597027501294181,1.0,0.5482792640765354,0.6709980746883459,0.5513416581315923,0.6706829841615402
MINING,0.5700601002775689,0.5033344888312176,0.5021446098431055,0.48365395498458164,0.5482792640765354,1.0,0.4260075450023665,0.3272623934130713,0.6033701812590005
MISC-IND,0.517414680999086,0.6637108850264523,0.7158840482052845,0.7401787918803573,0.6709980746883459,0.4260075450023665,1.0,0.5027058426495546,0.5036125792538932
PROPERTY,0.5119309690246804,0.5284495609787461,0.5498631086302995,0.5843786105926965,0.5513416581315923,0.3272623934130713,0.5027058426495546,1.0,0.49414747785192353
TRADE,0.6497805102030352,0.6241774792341621,0.6949487385495225,0.6437040584198321,0.6706829841615402,0.6033701812590005,0.5036125792538932,0.49414747785192353,1.0
